cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
57632,612.81,3,6,Garten Shopping,Feminino,Casa e Decoração,3,5,3,11,Premium
57653,72.96,1,9,Garten Shopping,Feminino,Farmácias,2,1,1,4,Pontual
58474,599.5,1,7,Balneário Shopping,Feminino,Moda,4,1,3,8,Potencial
58565,524.74,7,1,Garten Shopping,Masculino,Gastronomia,5,5,3,13,VIP
58668,159.98,1,19,Nações Shopping,Masculino,Moda,2,1,2,5,Pontual
58785,83.0,1,15,Garten Shopping,Feminino,Gastronomia,1,1,2,4,Pontual
58830,379.5,1,17,Balneário Shopping,Feminino,Moda,2,1,2,5,Pontual
58949,287.4,1,10,Garten Shopping,Feminino,Moda Feminina,2,1,2,5,Pontual
59234,399.0,1,2,Balneário Shopping,Masculino,Beleza e Bem-estar,5,1,2,8,Potencial
60015,129.5,1,3,Balneário Shopping,Feminino,Moda,5,1,1,7,Potencial
60154,1204.5,1,28,Balneário Shopping,Feminino,Moda,1,1,5,7,Potencial
60984,1382.5,2,3,Balneário Shopping,Feminino,Moda,5,4,5,14,VIP
61090,149.75,1,19,Balneário Shopping,Masculino,Moda,2,1,1,4,Pontual
61274,69.98,1,10,Garten Shopping,Feminino,Farmácias,2,1,1,4,Pontual
64435,759.0,1,25,Balneário Shopping,Feminino,Moda,1,1,4,6,Pontual
64467,27.5,1,6,Garten Shopping,Feminino,Gastronomia,3,1,1,5,Pontual
65321,695.5,1,12,Balneário Shopping,Feminino,Moda,3,1,4,8,Potencial
65499,399.7,1,0,Continente Shopping,Masculino,Calçados,5,1,4,10,Premium
66361,899.8,1,10,Garten Shopping,Feminino,Calçados,2,1,4,7,Potencial
67882,119.5,1,5,Balneário Shopping,Feminino,Moda,4,1,1,6,Pontual
69051,29.0,1,12,Neumarkt Shopping,Feminino,Lazer,2,1,1,4,Pontual
69172,44.94,1,12,Neumarkt Shopping,Feminino,Eletrodomésticos,2,1,1,4,Pontual
69559,1119.02,1,3,Garten Shopping,Masculino,Casa e Decoração,5,1,4,10,Premium
71293,458.5,1,8,Balneário Shopping,Masculino,Moda,3,1,3,7,Potencial
72148,597.0,2,8,Balneário Shopping,Feminino,Moda,3,4,3,10,Premium
72545,648.5,1,9,Balneário Shopping,Feminino,Moda,3,1,3,7,Potencial
72585,737.5,2,0,Balneário Shopping,Masculino,Moda,5,4,4,13,VIP
72797,295.0,1,2,Balneário Shopping,Feminino,Moda,5,1,2,8,Potencial
72844,199.5,1,4,Balneário Shopping,Masculino,Moda,5,1,1,7,Potencial
73092,1515.0,1,12,Garten Shopping,Masculino,Gastronomia,1,1,4,6,Pontual
73397,600.9,2,5,Continente Shopping,Masculino,Beleza e Bem-estar,4,4,4,12,Premium
73453,4.49,1,11,Norte Shopping,Feminino,Eletrodomésticos,2,1,1,4,Pontual
74500,99.8,2,0,Neumarkt Shopping,Masculino,Livrarias,5,4,2,11,Premium
74617,719.0,1,10,Balneário Shopping,Feminino,Moda,3,1,4,8,Potencial
75175,779.95,1,27,Continente Shopping,Feminino,Moda,2,1,5,8,Potencial
77079,1056.25,2,4,Balneário Shopping,Feminino,Moda,5,4,4,13,VIP
77473,858.0,2,0,Balneário Shopping,Feminino,Moda,5,4,4,13,VIP
78301,279.5,1,28,Balneário Shopping,Feminino,Moda,1,1,2,4,Pontual
78508,367.5,1,10,Balneário Shopping,Feminino,Moda,3,1,2,6,Pontual
82671,359.97,2,6,Continente Shopping,Feminino,Moda,4,4,3,11,Premium
85251,717.0,1,11,Balneário Shopping,Feminino,Moda,3,1,4,8,Potencial
85601,138.5,1,15,Balneário Shopping,Feminino,Moda,2,1,1,4,Pontual
86667,804.5,1,11,Balneário Shopping,Feminino,Moda,3,1,4,8,Potencial
87811,63.0,1,6,Balneário Shopping,Feminino,Joalheria,4,1,1,6,Pontual
88582,756.0,1,3,Balneário Shopping,Feminino,Moda,5,1,4,10,Premium
88641,329.95,1,18,Continente Shopping,Feminino,Moda,2,1,3,6,Pontual
89246,40.9,1,16,Neumarkt Shopping,Feminino,Gastronomia,1,1,1,3,Pontual
91015,105.0,1,15,Balneário Shopping,Feminino,Moda,2,1,1,4,Pontual
91153,485.92,2,10,Continente Shopping,Feminino,Moda,3,4,4,11,Premium
91196,1835.1,2,4,Balneário Shopping,Feminino,Gastronomia,5,4,5,14,VIP
91285,2182.5,3,0,Balneário Shopping,Feminino,Moda,5,5,5,15,VIP
91570,298.0,1,25,Continente Shopping,Feminino,Casa e Decoração,2,1,3,6,Pontual
