perfil;shopping;genero;ranking;loja;valor;pct_valor;cupons;clientes
VIP;Balneário Shopping;Feminino;6;LE LIS BLANC DEUX;243957,85;4,66;149;125
VIP;Balneário Shopping;Feminino;7;Live!;222768,83;4,25;232;190
VIP;Balneário Shopping;Feminino;8;Le Lis Blanc;208662,28;3,99;96;82
VIP;Balneário Shopping;Feminino;9;Shoulder;207461,77;3,96;199;152
VIP;Balneário Shopping;Feminino;10;C&A;199037,26;3,8;585;408
VIP;Balneário Shopping;Masculino;1;Vivara;906919,32;32,9;132;110
VIP;Balneário Shopping;Masculino;2;Zara;397795,7;14,43;486;301
VIP;Balneário Shopping;Masculino;3;Kulkes;253422,0;9,19;7;6
VIP;Balneário Shopping;Masculino;4;Padrão;248371,16;9,01;73;61
VIP;Balneário Shopping;Masculino;5;iPlace Mobile;242834,29;8,81;55;39
VIP;Balneário Shopping;Masculino;6;BOSS;167871,0;6,09;46;40
VIP;Balneário Shopping;Masculino;7;Brooksfield;167599,1;6,08;62;48
VIP;Balneário Shopping;Masculino;8;Dvie Joalheria;143774,0;5,22;4;4
VIP;Balneário Shopping;Masculino;9;Samsung;120236,0;4,36;18;15
VIP;Balneário Shopping;Masculino;10;Renner;108030,6;3,92;237;163
VIP;Continente Shopping;Feminino;1;Vivara;291007,05;19,01;63;55
VIP;Continente Shopping;Feminino;2;Renner;290400,98;18,97;878;487
VIP;Continente Shopping;Feminino;3;Nike Unite;146838,43;9,59;285;195
VIP;Continente Shopping;Feminino;4;C&A;132469,54;8,65;417;288
VIP;Continente Shopping;Feminino;5;Riachuelo;122408,2;8,0;394;275
VIP;Continente Shopping;Feminino;6;Vivo;121312,37;7,93;35;13
VIP;Continente Shopping;Feminino;7;Samsung;113495,0;7,42;21;14
VIP;Continente Shopping;Feminino;8;iPlace Mobile;109620,26;7,16;33;24
VIP;Continente Shopping;Feminino;9;Centauro;101557,04000000001;6,64;261;203
VIP;Continente Shopping;Feminino;10;Óticas Carol;101498,2;6,63;40;38
VIP;Continente Shopping;Masculino;1;Vivara;509546,3;39,11;82;71
VIP;Continente Shopping;Masculino;2;Vivo;164554,0;12,63;48;20
VIP;Continente Shopping;Masculino;3;Claro;117657,64;9,03;26;18
VIP;Continente Shopping;Masculino;4;Brooksfield;104058,3;7,99;41;34
VIP;Continente Shopping;Masculino;5;iPlace Mobile;94687,27;7,27;22;16
VIP;Continente Shopping;Masculino;6;Magazine Luiza;79988,42;6,14;22;17
VIP;Continente Shopping;Masculino;7;Nike Unite;74841,26000000001;5,74;129;97
VIP;Continente Shopping;Masculino;8;Renner;62900,19;4,83;165;108
VIP;Continente Shopping;Masculino;9;TIM ;49467,08;3,8;13;11
VIP;Continente Shopping;Masculino;10;Centauro;45036,76;3,46;86;73
VIP;Garten Shopping;Feminino;1;Renner;382554,43;18,87;1121;632
VIP;Garten Shopping;Feminino;2;IPLACE MOBILE;263921,92;13,02;57;44
VIP;Garten Shopping;Feminino;3;Le Lis Blanc;256237,66;12,64;164;121
VIP;Garten Shopping;Feminino;4;Vivara ;230753,34;11,38;60;55
VIP;Garten Shopping;Feminino;5;Riachuelo;183914,89;9,07;563;376
VIP;Garten Shopping;Feminino;6;CVC;183689,09;9,06;15;12
VIP;Garten Shopping;Feminino;7;Shoulder;147316,57;7,27;152;114
VIP;Garten Shopping;Feminino;8;Bergerson;145915,47;7,2;7;6
VIP;Garten Shopping;Feminino;9;Havan;118374,70999999999;5,84;440;282
VIP;Garten Shopping;Feminino;10;Idéli Oui;115078,56;5,68;180;142
VIP;Garten Shopping;Masculino;1;Bergerson;789137,19;29,55;23;20
VIP;Garten Shopping;Masculino;2;Vivara ;653848,15;24,48;117;95
VIP;Garten Shopping;Masculino;3;Brooksfield;266479,6;9,98;81;57
VIP;Garten Shopping;Masculino;4;Nxt;248090,0;9,29;26;24
VIP;Garten Shopping;Masculino;5;CVC;246118,96;9,22;15;15
VIP;Garten Shopping;Masculino;6;IPLACE MOBILE;177353,27;6,64;32;28
VIP;Garten Shopping;Masculino;7;Aramis Menswear;84298,3;3,16;32;29
VIP;Garten Shopping;Masculino;8;Padrao Joinville Ltda;75201,3;2,82;23;21
VIP;Garten Shopping;Masculino;9;Renner;66618,5;2,49;164;120
VIP;Garten Shopping;Masculino;10;Samsung;63355,0;2,37;15;12
VIP;Nações Shopping;Feminino;1;Renner;205972,9;22,85;537;252
VIP;Nações Shopping;Feminino;2;Vivara;134922,31;14,97;40;31
VIP;Nações Shopping;Feminino;3;Samsung;105014,3;11,65;23;17
VIP;Nações Shopping;Feminino;4;Luz da Lua;87841,55;9,75;78;65
VIP;Nações Shopping;Feminino;5;Colcci;85913,8;9,53;52;26
VIP;Nações Shopping;Feminino;6;C&A;74409,2;8,26;214;142
VIP;Nações Shopping;Feminino;7;Empório Du Homem;65905,7;7,31;37;30
VIP;Nações Shopping;Feminino;8;Riachuelo;57172,88;6,34;195;126
VIP;Nações Shopping;Feminino;9;Calvin Klein e Tommy Hilfiger;42909,0;4,76;34;30
VIP;Nações Shopping;Feminino;10;Live!;41276,06;4,58;46;39
VIP;Nações Shopping;Masculino;1;Vivara;166581,65;28,59;36;29
VIP;Nações Shopping;Masculino;2;Samsung;134761,0;23,13;31;19
VIP;Nações Shopping;Masculino;3;Empório Du Homem;62378,56;10,71;21;18
VIP;Nações Shopping;Masculino;4;Békko;48962,72;8,4;24;21
VIP;Nações Shopping;Masculino;5;Cassol Centerlar;42259,33;7,25;39;28
VIP;Nações Shopping;Masculino;6;Calvin Klein e Tommy Hilfiger;34952,0;6,0;16;15
VIP;Nações Shopping;Masculino;7;Renner;33859,46;5,81;91;59
VIP;Nações Shopping;Masculino;8;Ortobom ;21982,17;3,77;3;3
VIP;Nações Shopping;Masculino;9;Essence Parfums;19852,99;3,41;33;13
VIP;Nações Shopping;Masculino;10;Colcci;16991,35;2,92;17;6
VIP;Neumarkt Shopping;Feminino;1;Renner;494058,3;17,43;1505;827
VIP;Neumarkt Shopping;Feminino;2;Cvc Viagens;486504,04;17,17;48;38
VIP;Neumarkt Shopping;Feminino;3;Le Lis ;396705,56;14,0;218;156
VIP;Neumarkt Shopping;Feminino;4;Vivara;340756,83;12,02;106;83
VIP;Neumarkt Shopping;Feminino;5;Shoulder;276198,12;9,75;259;202
VIP;Neumarkt Shopping;Feminino;6;Havan;217540,18;7,68;718;433
VIP;Neumarkt Shopping;Feminino;7;Riachuelo;167470,15;5,91;592;399
VIP;Neumarkt Shopping;Feminino;8;Track & Field;159207,76;5,62;236;161
VIP;Neumarkt Shopping;Feminino;9;Life by Vivara;152210,82;5,37;168;140
VIP;Neumarkt Shopping;Feminino;10;Idéli.Oui;143182,68;5,05;135;111
VIP;Neumarkt Shopping;Masculino;1;Vivara;538821,43;30,81;107;91
VIP;Neumarkt Shopping;Masculino;2;Cvc Viagens;315029,47000000003;18,01;13;11
VIP;Neumarkt Shopping;Masculino;3;Brooksfield;227274,38;12,99;102;78
VIP;Neumarkt Shopping;Masculino;4;Vivo;115979,0;6,63;41;19
VIP;Neumarkt Shopping;Masculino;5;Samsung;114369,0;6,54;18;17
VIP;Neumarkt Shopping;Masculino;6;Baier Joalheria;95918,03;5,48;21;17
VIP;Neumarkt Shopping;Masculino;7;Anjos Colchões & Sofás;90784,0;5,19;12;10
VIP;Neumarkt Shopping;Masculino;8;Victor Hugo;83945,9;4,8;30;25
VIP;Neumarkt Shopping;Masculino;9;Renner;83503,05;4,77;232;153
VIP;Neumarkt Shopping;Masculino;10;Havan;83379,87;4,77;164;117
VIP;Norte Shopping;Feminino;1;CVC;220613,71;21,46;12;11
VIP;Norte Shopping;Feminino;2;Havan;158822,21;15,45;370;233
VIP;Norte Shopping;Feminino;3;Magazine Luiza;111533,61;10,85;34;31
VIP;Norte Shopping;Feminino;4;Renner;102603,6;9,98;295;211
VIP;Norte Shopping;Feminino;5;Atacadão;95692,41;9,31;552;185
VIP;Norte Shopping;Feminino;6;Casas Bahia;80916,18;7,87;36;26
VIP;Norte Shopping;Feminino;7;NXT Eletric;70440,0;6,85;9;9
VIP;Norte Shopping;Feminino;8;Pittol;69268,49;6,74;198;143
VIP;Norte Shopping;Feminino;9;Riachuelo;59344,62;5,77;213;143
VIP;Norte Shopping;Feminino;10;Samsung;58874,0;5,73;12;12
VIP;Norte Shopping;Masculino;1;CVC;214523,92;22,31;19;17
VIP;Norte Shopping;Masculino;2;NXT Eletric;197710,0;20,56;21;20
VIP;Norte Shopping;Masculino;3;Samsung;106791,0;11,11;20;16
VIP;Norte Shopping;Masculino;4;Casas Bahia;98225,15;10,22;27;24
VIP;Norte Shopping;Masculino;5;Atacadão;83141,4;8,65;252;73
VIP;Norte Shopping;Masculino;6;Magazine Luiza;81318,24;8,46;26;20
VIP;Norte Shopping;Masculino;7;Vivara;70831,78;7,37;29;18
VIP;Norte Shopping;Masculino;8;Havan;43758,090000000004;4,55;97;56
VIP;Norte Shopping;Masculino;9;Claro;37475,0;3,9;9;6
VIP;Norte Shopping;Masculino;10;Motorola;27743,02;2,89;6;4
