cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
138072,279.0,1,1,Balneário Shopping,Feminino,Moda,5,3,2,10,Premium
138074,317.8,1,34,Continente Shopping,Feminino,Calçados,2,3,2,7,Potencial
138109,319.5,1,4,Balneário Shopping,Feminino,Moda,5,3,2,10,Premium
138117,305.9,1,34,Continente Shopping,Feminino,Calçados,2,3,2,7,Potencial
138120,269.5,1,5,Balneário Shopping,Masculino,Moda,5,3,2,10,Premium
138194,1018.0,2,24,Balneário Shopping,Feminino,Moda,3,4,4,11,Premium
138211,329.8,1,31,Continente Shopping,Feminino,Calçados,2,3,2,7,Potencial
138266,279.5,1,19,Balneário Shopping,Feminino,Moda,3,3,2,8,Potencial
138281,758.5,2,13,Balneário Shopping,Feminino,Moda,4,4,4,12,Premium
138287,259.5,1,33,Balneário Shopping,Feminino,Moda,2,3,2,7,Potencial
138295,1285.0,2,22,Balneário Shopping,Feminino,Moda,3,4,5,12,Premium
138317,259.5,1,32,Balneário Shopping,Masculino,Moda,2,3,2,7,Potencial
138322,59.0,1,33,Balneário Shopping,Feminino,Moda,2,3,1,6,Pontual
138332,569.8,1,33,Continente Shopping,Masculino,Calçados,2,3,3,8,Potencial
138342,379.5,1,13,Balneário Shopping,Feminino,Moda,4,3,3,10,Premium
138358,828.5,1,33,Balneário Shopping,Feminino,Moda,2,3,4,9,Potencial
138390,504.71,1,26,Continente Shopping,Feminino,Calçados,3,3,3,9,Potencial
138403,2260.5,1,33,Balneário Shopping,Feminino,Moda,2,3,5,10,Premium
138434,379.9,1,33,Garten Shopping,Feminino,Moda,2,3,3,8,Potencial
138464,539.9,1,33,Garten Shopping,Feminino,Moda,2,3,3,8,Potencial
138497,2136.5,5,5,Balneário Shopping,Feminino,Moda,5,5,5,15,VIP
138529,656.5,1,33,Balneário Shopping,Masculino,Moda,2,3,4,9,Potencial
138555,394.5,1,33,Balneário Shopping,Feminino,Moda,2,3,3,8,Potencial
138573,539.5,1,20,Balneário Shopping,Feminino,Moda,3,3,3,9,Potencial
138638,158.5,1,33,Balneário Shopping,Feminino,Moda,2,3,1,6,Pontual
138643,438.0,1,32,Balneário Shopping,Feminino,Moda,2,3,3,8,Potencial
138713,209.98,1,33,Neumarkt Shopping,Masculino,Esportes,2,3,1,6,Pontual
138743,59.0,1,33,Balneário Shopping,Masculino,Moda,2,3,1,6,Pontual
138762,2405.95,3,21,Balneário Shopping,Masculino,Moda,3,5,5,13,VIP
138763,198.5,1,27,Balneário Shopping,Feminino,Moda,3,3,1,7,Potencial
138770,99.5,1,32,Balneário Shopping,Feminino,Moda,2,3,1,6,Pontual
138772,539.0,2,5,Balneário Shopping,Masculino,Moda,5,4,3,12,Premium
138782,1341.3,2,29,Balneário Shopping,Feminino,Infantil,3,4,5,12,Premium
138814,653.0,1,18,Balneário Shopping,Feminino,Moda,4,3,4,11,Premium
138825,161.91,1,8,Garten Shopping,Feminino,Moda,5,3,1,9,Potencial
138860,112.49,3,22,Continente Shopping,Feminino,Eletrodomésticos,3,5,1,9,Potencial
138867,379.5,1,32,Balneário Shopping,Feminino,Moda,2,3,3,8,Potencial
138893,259.5,1,24,Balneário Shopping,Feminino,Moda,3,3,2,8,Potencial
138898,259.5,1,32,Balneário Shopping,Feminino,Moda,2,3,2,7,Potencial
138907,279.9,1,29,Continente Shopping,Masculino,Calçados,3,3,2,8,Potencial
138955,979.0,2,10,Balneário Shopping,Feminino,Moda,4,4,4,12,Premium
138964,874.5,1,32,Balneário Shopping,Feminino,Moda,2,3,4,9,Potencial
139019,1444.25,2,10,Balneário Shopping,Feminino,Moda,4,4,5,13,VIP
139024,739.93,1,28,Continente Shopping,Feminino,Calçados,3,3,4,10,Premium
139081,256.0,1,4,Continente Shopping,Feminino,Livrarias,5,3,2,10,Premium
139087,417.5,1,31,Balneário Shopping,Masculino,Moda,2,3,3,8,Potencial
139091,250.0,1,32,Balneário Shopping,Feminino,Moda,2,3,2,7,Potencial
139097,5300.0,1,8,Garten Shopping,Feminino,Joalheria,5,3,5,13,VIP
139126,933.5,3,1,Balneário Shopping,Masculino,Moda,5,5,4,14,VIP
139143,293.5,1,1,Balneário Shopping,Feminino,Moda,5,3,2,10,Premium
139167,597.5,1,32,Balneário Shopping,Feminino,Moda,2,3,3,8,Potencial
139204,339.7,1,5,Continente Shopping,Masculino,Calçados,5,3,2,10,Premium
139214,169.0,1,31,Balneário Shopping,Feminino,Moda,2,3,1,6,Pontual
139229,698.25,1,30,Balneário Shopping,Feminino,Moda,2,3,4,9,Potencial
139247,698.5,2,28,Balneário Shopping,Feminino,Moda,3,4,4,11,Premium
139269,159.8,1,31,Neumarkt Shopping,Masculino,Moda,2,3,1,6,Pontual
139280,518.0,1,31,Balneário Shopping,Feminino,Moda,2,3,3,8,Potencial
139311,101.88999999999999,2,31,Balneário Shopping,Feminino,Beleza e Bem-estar,2,5,1,8,Potencial
139333,638.5,1,31,Balneário Shopping,Feminino,Moda,2,3,3,8,Potencial
139349,916.5,1,31,Balneário Shopping,Feminino,Moda,2,3,4,9,Potencial
139378,358.0,2,31,Balneário Shopping,Feminino,Moda,2,5,2,9,Potencial
139384,273.61,2,27,Neumarkt Shopping,Feminino,Moda,3,5,2,10,Premium
139473,138.0,1,22,Balneário Shopping,Feminino,Moda,3,3,1,7,Potencial
139480,879.6,2,31,Continente Shopping,Masculino,Calçados,2,5,4,11,Premium
139511,1377.0,1,25,Balneário Shopping,Feminino,Moda,3,3,5,11,Premium
139540,343.21,1,31,Continente Shopping,Masculino,Calçados,2,3,2,7,Potencial
139547,4314.0,1,31,Balneário Shopping,Feminino,Moda,2,3,5,10,Premium
139618,159.0,1,31,Balneário Shopping,Feminino,Moda,2,3,1,6,Pontual
139664,588.0,2,8,Balneário Shopping,Feminino,Moda,5,5,3,13,VIP
139694,357.5,1,30,Balneário Shopping,Feminino,Moda,2,3,2,7,Potencial
139756,2668.5,2,27,Balneário Shopping,Feminino,Moda,3,5,5,13,VIP
139757,1325.5,2,17,Balneário Shopping,Feminino,Moda,4,5,5,14,VIP
139788,706.5,1,5,Balneário Shopping,Feminino,Moda,5,3,4,12,Premium
