cliente_id,valor_total,qtd_compras,genero,faixa_etaria,segmento_preferido,loja_preferida,ranking
112544,12495.69,24,Feminino,25-39 (Millennials),Joalheria,Pandora,220
93795,12468.16,27,Feminino,40-54 (Gen X),Calçados,Arezzo,221
110136,12440.0,3,Feminino,40-54 (Gen X),Moda,Empório Du Homem,222
149725,12419.63,29,Feminino,40-54 (Gen X),Moda,Centauro,223
224826,12388.95,1,Masculino,40-54 (Gen X),Eletrônicos,Samsung,224
221490,12331.39,19,Feminino,25-39 (Millennials),Moda,Cobasi,225
266947,12324.0,1,Masculino,25-39 (Millennials),Eletrônicos,Samsung,226
126517,12291.54,28,Feminino,40-54 (Gen X),Moda,Plié,227
375823,12265.26,2,Feminino,40-54 (Gen X),Joalheria,Vivara,228
205369,12260.8,5,Masculino,40-54 (Gen X),Eletrônicos,Samsung,229
166473,12241.95,7,Feminino,25-39 (Millennials),Calçados,Americanas,230
126961,12200.98,66,Feminino,40-54 (Gen X),Moda,Renner,231
254552,12151.94,7,Feminino,16-24 (Gen Z),Eletrônicos,Samsung,232
2714,12135.6,57,Feminino,25-39 (Millennials),Gastronomia,Renner,233
201087,12085.09,11,Feminino,55-69 (Boomers),Moda,Live!,234
208901,12040.09,93,Feminino,40-54 (Gen X),Gastronomia,Mini Kalzone,235
255570,11981.28,39,Feminino,40-54 (Gen X),Gastronomia,Santo Boteco,236
125364,11975.6,12,Feminino,40-54 (Gen X),Moda,Damyller,237
120242,11963.86,45,Feminino,16-24 (Gen Z),Moda,Renner,238
19788,11949.07,19,Feminino,25-39 (Millennials),Moda,z Naçoes Shopping Participações - Estacionamento,239
187582,11918.94,41,Feminino,25-39 (Millennials),Moda,Renner,240
55008,11915.76,23,Feminino,25-39 (Millennials),Gastronomia,Békko,241
4322,11915.46,70,Masculino,40-54 (Gen X),Gastronomia,Mini Kalzone,242
174497,11914.92,3,Masculino,25-39 (Millennials),Eletrônicos,Centauro,243
4315,11889.41,20,Feminino,25-39 (Millennials),Moda,C&A,244
307154,11885.0,6,Feminino,25-39 (Millennials),Moda,Calvin Klein e Tommy Hilfiger,245
369935,11849.289999999999,13,Masculino,25-39 (Millennials),Calçados,Centauro,246
227193,11843.75,84,Feminino,25-39 (Millennials),Gastronomia,McDonald's,247
230065,11837.699999999999,71,Feminino,25-39 (Millennials),Gastronomia,Griletto,248
118063,11818.27,16,Feminino,40-54 (Gen X),Moda,Farm,249
207876,11777.49,19,Feminino,40-54 (Gen X),Beleza e Bem-estar,Avatim,250
161704,11756.61,84,Feminino,25-39 (Millennials),Gastronomia,Santo Boteco,251
30246,11751.69,98,Masculino,25-39 (Millennials),Gastronomia,Café Cultura,252
153216,11727.84,14,Feminino,40-54 (Gen X),Calçados Femininos,Luz da Lua,253
146101,11713.99,68,Masculino,40-54 (Gen X),Moda,C&A,254
189139,11713.720000000001,3,Masculino,40-54 (Gen X),Casa e Decoração,Cassol Centerlar,255
132908,11695.91,44,Feminino,40-54 (Gen X),Moda,C&A,256
473561,11670.22,18,Feminino,40-54 (Gen X),Não informado,Kopenhagen,257
128034,11653.83,42,Feminino,40-54 (Gen X),Moda,BelShop,258
156078,11649.0,301,Feminino,25-39 (Millennials),Gastronomia,Mini Kalzone,259
142857,11639.53,36,Masculino,40-54 (Gen X),Moda,Cassol Centerlar,260
134884,11633.16,5,Feminino,25-39 (Millennials),Moda,C&A,261
