cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
246418,409.19,3,16,Garten Shopping,Feminino,Calçados,1,4,2,7,Potencial
246419,2095.0,1,16,Nações Shopping,Masculino,Moda,1,1,5,7,Potencial
246422,375.9,1,16,Norte Shopping,Feminino,Casa e Decoração,1,1,2,4,Pontual
246423,960.67,2,16,Balneário Shopping,Masculino,Gastronomia,1,3,4,8,Potencial
246426,167.99,1,16,Balneário Shopping,Feminino,Gastronomia,1,1,1,3,Pontual
246427,3809.94,2,2,Balneário Shopping,Masculino,Moda,5,3,5,13,VIP
246428,3010.15,7,16,Garten Shopping,Masculino,Moda,1,5,5,11,Premium
246429,3431.13,6,12,Neumarkt Shopping,Feminino,Esportes,2,5,5,12,Premium
246431,2082.54,13,0,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
246433,2803.2200000000003,11,5,Norte Shopping,Masculino,Moda,4,5,5,14,VIP
246435,1195.0,1,16,Balneário Shopping,Masculino,Moda,1,1,4,6,Pontual
246436,119.9,1,16,Nações Shopping,Masculino,Moda,1,1,1,3,Pontual
246437,2121.53,3,16,Continente Shopping,Feminino,Gastronomia,1,4,5,10,Premium
246440,6411.55,9,1,Balneário Shopping,Feminino,Gastronomia,5,5,5,15,VIP
246443,1301.34,9,8,Balneário Shopping,Masculino,Infantil,3,5,4,12,Premium
246444,569.6,1,16,Balneário Shopping,Masculino,Infantil,1,1,3,5,Pontual
246445,599.96,1,16,Nações Shopping,Feminino,Beleza e Bem-estar,1,1,3,5,Pontual
246446,279.9,1,16,Garten Shopping,Feminino,Moda,1,1,1,3,Pontual
246449,651.58,3,14,Continente Shopping,Feminino,Moda,2,4,3,9,Potencial
246450,1098.0,1,16,Balneário Shopping,Feminino,Moda Feminina,1,1,4,6,Pontual
246451,450.0,1,16,Nações Shopping,Masculino,Moda,1,1,2,4,Pontual
246452,704.7,1,16,Neumarkt Shopping,Masculino,Beleza e Bem-estar,1,1,3,5,Pontual
246453,335.8,1,16,Continente Shopping,Feminino,Não informado,1,1,2,4,Pontual
246454,43.8,1,16,Balneário Shopping,Feminino,Beleza e Bem-estar,1,1,1,3,Pontual
246455,2777.7200000000003,3,16,Balneário Shopping,Feminino,Beleza e Bem-estar,1,4,5,10,Premium
246456,29181.0,1,15,Balneário Shopping,Masculino,Joalheria,2,1,5,8,Potencial
246457,30.9,1,16,Balneário Shopping,Masculino,Gastronomia,1,1,1,3,Pontual
246458,866.8,2,14,Neumarkt Shopping,Masculino,Calçados,2,3,4,9,Potencial
